Date,Estimated Drop-offs Containing Food Waste
2022-02-13,7
2022-02-17,21
2022-02-19,11
2022-02-27,6
2022-03-01,37
2022-03-04,34
2022-03-05,32
2022-03-15,31
2022-03-31,29
2022-04-01,45
2022-04-08,38
2022-04-09,41
2022-04-12,35
2022-04-13,24
2022-04-15,48
2022-04-17,3
2022-04-18,24
2022-04-21,42
2022-04-29,43
2022-05-03,42
2022-05-07,32
2022-05-08,16
2022-05-10,50
2022-05-15,10
2022-05-20,27
2022-05-30,0
2022-05-31,55
2022-06-09,42
2022-06-11,33
2022-06-13,42
2022-06-21,81
2022-06-23,31
2022-06-27,42
2022-06-28,50
2022-06-30,42
2022-07-20,47
2022-07-31,0
2022-08-15,31
2022-08-16,47
2022-08-17,45
2022-08-20,34
2022-08-28,0
2022-08-30,67
2022-09-01,40
2022-09-03,20
2022-09-10,21
2022-09-12,31
2022-09-16,54
2022-09-21,45
2022-09-24,32
2022-09-26,52
2022-10-01,28
2022-10-05,50
2022-10-16,20
2022-10-18,62
2022-10-24,54
2022-10-25,52
2022-10-27,50
2022-10-28,46
2022-11-10,47
2022-11-12,37
2022-11-26,31
2022-12-03,30
2022-12-17,34
2022-12-18,18
2022-12-21,47
2023-01-04,52
2023-01-06,65
2023-01-12,45
2023-01-14,26
2023-01-18,58
2023-01-21,29
2023-01-29,8
2023-02-03,52
2022-02-10,8
2022-02-20,11
2022-02-24,27
2022-02-25,27
2022-03-21,36
2022-03-22,20
2022-03-24,24
2022-03-25,38
2022-03-28,43
2022-04-02,52
2022-04-04,53
2022-05-01,14
2022-05-13,48
2022-05-18,35
2022-05-22,13
2022-06-01,33
2022-06-07,34
2022-06-15,44
2022-06-29,40
2022-07-02,46
2022-07-15,56
2022-07-17,16
2022-07-23,16
2022-07-25,52
2022-07-29,51
2022-08-04,45
2022-08-05,32
2022-08-11,40
2022-08-18,40
2022-08-31,46
2022-09-04,7
2022-09-05,0
2022-09-06,4
2022-09-08,10
2022-09-13,50
2022-09-20,42
2022-09-23,52
2022-09-25,11
2022-10-03,62
2022-10-09,15
2022-10-10,50
2022-10-14,45
2022-10-15,15
2022-10-20,42
2022-10-22,29
2022-10-29,37
2022-11-01,50
2022-11-04,46
2022-11-06,15
2022-11-07,47
2022-11-14,52
2022-11-18,45
2022-11-25,32
2022-11-27,13
2022-11-30,51
2022-12-02,48
2022-12-04,9
2022-12-05,45
2022-12-09,45
2022-12-26,50
2023-01-17,4
2023-01-26,56
2023-02-01,39
2023-02-04,23
2022-02-09,9
2022-02-11,19
2022-02-12,18
2022-02-14,22
2022-02-16,28
2022-02-21,29
2022-02-22,28
2022-02-26,18
2022-03-03,20
2022-03-18,30
2022-03-19,32
2022-03-29,20
2022-03-30,33
2022-04-03,22
2022-04-14,29
2022-04-25,40
2022-04-27,36
2022-04-28,40
2022-05-04,52
2022-05-06,35
2022-05-09,37
2022-05-11,39
2022-05-19,36
2022-05-21,24
2022-05-25,27
2022-05-27,33
2022-06-03,50
2022-06-12,13
2022-06-20,0
2022-06-25,41
2022-07-01,50
2022-07-04,0
2022-07-06,47
2022-07-10,1
2022-07-14,46
2022-07-18,55
2022-07-21,40
2022-07-27,48
2022-08-06,27
2022-08-07,3
2022-08-08,50
2022-08-12,33
2022-08-13,24
2022-08-21,0
2022-08-24,37
2022-08-25,36
2022-09-07,44
2022-09-11,1
2022-09-15,42
2022-09-17,48
2022-09-19,39
2022-09-22,40
2022-10-13,34
2022-10-21,50
2022-10-31,50
2022-11-09,57
2022-11-15,35
2022-11-21,42
2022-11-23,41
2022-11-29,52
2022-12-08,45
2022-12-10,15
2022-12-11,10
2022-12-13,52
2022-12-14,37
2022-12-16,53
2022-12-22,34
2022-12-23,71
2022-12-27,72
2022-12-30,34
2023-01-02,0
2023-01-03,85
2023-01-09,60
2023-01-16,0
2023-01-23,53
2023-01-24,44
2023-01-28,20
2023-01-30,39
2023-01-31,44
2023-02-05,9
2022-02-07,5
2022-02-08,3
2022-02-18,12
2022-02-23,26
2022-02-28,24
2022-03-09,24
